company,ticker,cik,cohort_name,cohort_year,comparison_point,filing_form,filing_date,accession,source_path,control_type,founder_or_family_names,founder_executive_role,founder_board_role,economic_ownership_pct,voting_power_pct,control_mechanism,controlled_company_status,control_signal,evidence_chunk_ids,evidence_excerpt,confidence,notes
Microsoft,MSFT,0000789019,earlier_sp500_top20_1996,1996,dominance_year,DEF 14A,1996-09-27,0000898430-96-004549,https://www.sec.gov/Archives/edgar/data/789019/000089843096004549/0000898430-96-004549.txt,founder_operator_influence,William H. Gates; Paul G. Allen,Gates was CEO,Gates was chairman/director; Allen was director,Gates 23.7%; Allen 9.0%; directors/officers group 38.7%,,single-class common stock observed in proxy,not disclosed as controlled company,strong,raw:MSFT-1996:L250-L364; raw:MSFT-1996:L376,"Gates was identified as founder, CEO and chairman; Gates held 23.7%, Allen held 9.0%, and directors/officers held 38.7%.",high,"EdgarPack built this accession as an SEC directory listing, so the raw SEC text is used as the primary evidence until old DEF 14A ingestion is fixed."
Intel,INTC,0000050863,earlier_sp500_top20_1996,1996,dominance_year,DEF 14A,1996-04-04,0000898430-96-001197,https://www.sec.gov/Archives/edgar/data/50863/000089843096001197/0000898430-96-001197.txt,founder_operator_influence,Gordon E. Moore,,Moore was chairman and director,Moore 5.6%,,single-class common stock observed in proxy,not disclosed as controlled company,visible,raw:INTC-1996:L430-L431; raw:INTC-1996:L1195,"Moore was identified as co-founder and chairman; the ownership table listed 45,996,726 shares, or 5.6%.",high,"Founder presence remained visible at board/chair level, but the row does not show majority voting control."
Walmart,WMT,0000104169,earlier_sp500_top20_1996,1996,dominance_year,DEF 14A,1996-04-23,0000104169-96-000003,https://www.sec.gov/Archives/edgar/data/104169/000010416996000003/0000104169-96-000003.txt,founder_family_control,Sam Walton family,,S. Robson Walton was chairman; John T. Walton was director,Walton family members each disclosed about 38% through Walton Enterprises-linked holdings,,founder-family partnership block,not disclosed as controlled company,strong,raw:WMT-1996:L808-L819,"Walton family rows each included 871,273,976 Walton Enterprises shares and about 38% beneficial ownership.",high,"Founder was deceased; this is founder-family control, not living founder operator control."
Exxon Mobil,XOM,0000034088,earlier_sp500_top20_1996,1996,dominance_year,DEF 14A,1996-03-12,0000950117-96-000195,https://www.sec.gov/Archives/edgar/data/34088/000095011796000195/0000950117-96-000195.txt,professional_manager_control,,,,directors/nominees less than 0.1%; directors/officers group less than 0.5% with options,,single-class common stock observed in proxy,not disclosed as controlled company,none_found,raw:XOM-1996:L1005-L1044,Directors and nominees held less than 0.1%; directors/officers as a group were less than 0.5% with options.,high,No founder-control signal found in reviewed proxy ownership evidence.
Coca-Cola,KO,0000021344,earlier_sp500_top20_1996,1996,dominance_year,DEF 14A,1996-03-01,0000950144-96-000760,https://www.sec.gov/Archives/edgar/data/21344/000095014496000760/0000950144-96-000760.txt,professional_manager_control,,,,no founder ownership found; Berkshire/Buffett disclosed 7.98% non-founder block,,single-class common stock observed in proxy,not disclosed as controlled company,none_found,raw:KO-1996:L555-L591; raw:KO-1996:L678-L691,"The largest visible control-like block was Berkshire/Buffett at 100,000,000 shares, or 7.98%, not founder ownership.",medium,No Candler/founder-control signal found in targeted proxy search; non-founder Buffett ownership is noted to avoid false founder attribution.
General Electric,GE,0000040545,earlier_sp500_top20_1996,1996,dominance_year,DEF 14A,1996-03-11,0000040545-96-000003,https://www.sec.gov/Archives/edgar/data/40545/000004054596000003/0000040545-96-000003.txt,professional_manager_control,,,,no director/officer above 0.1%; directors/officers group below 1%,,single-class common stock observed in proxy,not disclosed as controlled company,none_found,raw:GE-1996:L545-L572,"The proxy stated no director/officer owned more than 0.1%, and directors/officers as a group owned less than 1%.",high,No founder-control signal found in reviewed proxy ownership evidence.
NVIDIA,NVDA,0001045810,current_sp500_top20_2026,2026,dominance_year,DEF 14A,2025-05-13,0001045810-25-000095,packs/0001045810/0001045810-25-000095,founder_operator_influence,Jen-Hsun Huang,President and CEO,director since 1993,3.77%,,single-class common stock observed in proxy,not disclosed as controlled company,visible,2d586b7d07e4513e; b5033e9131fcaadf; 454820b3fef083f9,"Huang is founder, President, CEO and board member; the ownership table listed 922,922,938 shares, or 3.77%.",high,"Founder-operator influence is high, but formal voting control is not shown by the proxy ownership table."
Alphabet,GOOGL,0001652044,current_sp500_top20_2026,2026,dominance_year,DEF 14A,2026-04-24,0001308179-26-000342,packs/0001652044/0001308179-26-000342,founder_voting_control,Larry Page; Sergey Brin,,Page and Brin are co-founder directors,Page 389.1M Class B shares; Brin 358.9M Class B shares; Class C excluded from table,Page 27.4%; Brin 25.3%; directors/officers group 54.3%,Class B common stock has ten votes per share; Class C has no voting power,not labeled as controlled company in reviewed excerpts,strong,59d4db6a4f0a572a; 3b1fc3cbb8420ee3; 72df5b2afbd5f5db; 1dd5b30fd0fef98f,"The proxy listed Page at 27.4% voting power, Brin at 25.3%, and Class B shares with ten votes per share.",high,Formal founder voting control persists even though operating leadership has moved to professional management.
Meta Platforms,META,0001326801,current_sp500_top20_2026,2026,dominance_year,DEF 14A,2026-04-16,0001628280-26-025532,packs/0001326801/0001628280-26-025532,founder_voting_control,Mark Zuckerberg,"Founder, chairman and CEO",director since 2004; chairman since 2012,Class B 99.8%; Class A less than 1%,60.8%,Class B common stock has ten votes per share; Class A has one vote per share,controlled company under Nasdaq rules,strong,8158ca5e8a5e2250; 9a17a6b8b18c4f52; 6f79c1bf4b3bf253,Zuckerberg is founder/chair/CEO and controlling shareholder; ownership table listed 60.8% total voting power.,high,Strongest formal founder-control row in the validation slice.
Apple,AAPL,0000320193,current_sp500_top20_2026,2026,dominance_year,DEF 14A,2026-01-08,0001308179-26-000008,packs/0000320193/0001308179-26-000008,institutional_single_class,Steve Jobs; Steve Wozniak,,,no founder ownership found; Tim Cook and directors/officers were each below 1%,,single-class common stock observed in proxy,not disclosed as controlled company,none_found,314fed177ccce9bf; d42f348f2d01caf1; ebe9bd8c4e1aa103,Apple's ownership table listed Vanguard and BlackRock above 5%; Tim Cook and the officer/director group were below 1%.,high,Founder names are included for identity only; no current founder-control evidence found in the 2026 proxy.
